band_id;genre_name
516;Alternative rock
517;Hard rock
517;Heavy metal
517;Progressive rock
518;Synthpop
519;Gospel music
520;Texas blues
520;Electric blues
520;Blues rock
520;Instrumental rock
521;Traditional folk music
521;Pop music
522;Hard rock
522;Gothic rock
522;Alternative rock
522;Post-punk
523;Rave music
523;Breakbeat hardcore
523;Broken beat
523;Trip hop
523;Electronica
523;Drum and bass
523;Acid house
523;Nu jazz
523;Contemporary R&B
523;Downtempo
523;Jungle
523;Neo soul
524;Electroclash
524;Electropop
524;Synthpop
524;Bitpop
525;Soul
525;New jack swing
525;Hip hop
525;Contemporary R&B
526;Soul
526;Jazz-funk
526;Funk
527;Post-hardcore
528;Southern rock
528;Hard rock
528;Heavy metal
529;Hip hop
529;Nu metal
529;Alternative hip hop
531;Noise rock
531;Experimental rock
532;Boogie
532;Soul
532;Funk
533;J-pop
534;Rock music
535;Death metal
535;Alternative metal
535;Thrash metal
536;Hard rock
536;Gothic rock
536;New wave
536;Alternative rock
536;Post-punk
537;Doom metal
537;Symphonic black metal
538;Indie rock
538;Indietronica
538;Indie pop
538;Power pop
539;Hard rock
539;Blues rock
541;Industrial rock
541;Electronica
542;Metalcore
542;Mathcore
544;Electronica
544;Indie pop
545;Hard rock
545;Post-grunge
545;Alternative metal
545;Nu metal
546;Downtempo
547;Indie rock
547;Indietronica
547;Art punk
547;Alternative dance
547;Post-punk revival
547;Post-Britpop
548;Art rock
548;Glam rock
548;Indie pop
548;Alternative rock
548;Britpop
548;Post-punk
549;Hard rock
549;Heavy metal
550;Chiptune
550;Electronica
550;Bitpop
550;Tech house
550;Techno
551;Art rock
551;New wave
551;Synthpop
551;Post-punk
552;Dream pop
552;Neo-psychedelia
552;Space rock
553;Electronica
553;Shibuya-kei
553;J-pop
553;Synthpop
553;House music
553;Eurodance
554;Alternative rock
554;Britpop
554;Post-punk
554;Baggy
555;Folk rock
555;Indie folk
556;Death metal
557;New wave
557;Pop rock
557;Pub rock
558;Alternative metal
559;Hard rock
559;Rap metal
559;Post-grunge
559;Alternative metal
559;Alternative rock
559;Nu metal
560;Jazz rock
560;Jazz fusion
560;Smooth jazz
561;Glam rock
561;Pop rock
561;Pop music
562;Hard rock
562;Blues rock
563;Folk rock
563;Funk rock
563;Rockabilly
563;Disco
564;Dark wave
564;Dark ambient
564;Dark cabaret
565;Hip hop
565;Funk
566;Indie rock
566;Indietronica
566;Psychedelic pop
566;Psychedelic rock
567;Metalcore
567;Hardcore punk
567;Alternative metal
567;Thrash metal
567;Funk metal
567;Comedy rock
568;Bubblegum pop
569;Indie pop
569;Post-hardcore
569;Alternative rock
569;Funk
569;Dance-pop
569;Experimental rock
570;Psychedelic rock
570;Math rock
570;Alternative rock
571;Indie rock
571;Indietronica
571;Traditional folk music
571;Indie pop
572;Rock music
573;Pop rock
573;Electropop
573;Dance-rock
573;Funk
573;Dance-pop
574;Dream pop
574;New-age music
574;Synthpop
575;Blues rock
575;Boogie rock
576;Funk rock
576;Math rock
576;Jam band
576;Jazz rock
576;Jazz fusion
576;Rock music
576;Progressive rock
577;Hard rock
577;Industrial rock
577;Glam rock
577;Industrial metal
577;Shock rock
577;Alternative metal
578;Alternative rock
578;Rock music
579;Gothic rock
579;Alternative metal
579;Alternative rock
579;Dark rock
579;Gothic metal
580;Indie rock
580;Indietronica
580;Psychedelic folk
580;Lo-fi
581;Boogie
581;New wave
581;Electronic dance muslc
581;Post-disco
581;Synthpop
581;Electro
582;Folk rock
582;Punk rock
582;Folk punk
583;World music
583;Pop music
583;trance
583;Synthpop
584;Dream pop
584;Shoegazing
584;Lo-fi
584;Indie pop
584;Noise pop
585;Progressive metal
585;Alternative metal
586;Post-grunge
586;Alternative metal
586;Alternative rock
587;Indie rock
587;Indietronica
587;Garage rock
588;Hard rock
588;Psychedelic rock
588;Jazz rock
588;Jazz fusion
588;Progressive rock
589;Art rock
589;Indie rock
589;Indietronica
589;Alternative country
589;Alternative rock
589;Experimental rock
590;Black metal
590;Symphonic black metal
591;Bluegrass
592;Hard rock
592;Industrial rock
593;Speed metal
593;Power metal
593;Heavy metal
594;Indie rock
594;Indietronica
594;Lo-fi
594;Experimental rock
595;Heavy metal
596;Indie rock
596;Indietronica
596;Math rock
596;Alternative rock
597;Soul
